# Upstream v0.66.0 → v0.71.0 path disposition inventory
# Base: 0fc0eebb9604970c506708b7508d6aa38921fde2; target: 4af5e85a427b9f87334585ae8d0eb365d4dd2a1e
# Generated from git diff --name-status --find-renames. Disposition categories are explained in tasks/inventory-v0.71.md.
STATUS	FROM	TO	DISPOSITION
M	src/shared/launch-contract.ts		take upstream edit, then review Selesai branding/config paths
A	src/shared/opencode-session-headers.ts		adopt upstream addition; apply documented fork and packaging exclusions
M	src/shared/pruned-fork.ts		take upstream edit, then review Selesai branding/config paths
A	src/shared/required-child-extensions.ts		adopt upstream addition; apply documented fork and packaging exclusions
M	src/shared/settings.ts		take upstream edit, then review Selesai branding/config paths
M	src/shared/shortcuts.ts		take upstream edit, then review Selesai branding/config paths
M	src/shared/types.ts		3-way conflict; resolve fork delta by inventory decision
M	src/slash/delegation-adapters.ts		take upstream edit, then review Selesai branding/config paths
M	src/slash/delegation-request.ts		take upstream edit, then review Selesai branding/config paths
M	src/slash/prompt-template-bridge.ts		take upstream edit, then review Selesai branding/config paths
M	src/slash/prompt-workflows.ts		take upstream edit, then review Selesai branding/config paths
M	src/slash/slash-commands.ts		3-way conflict; resolve fork delta by inventory decision
A	src/slash/subagent-cost.ts		adopt upstream addition; apply documented fork and packaging exclusions
M	src/slash/subagents-admin.ts		take upstream edit, then review Selesai branding/config paths
M	src/tui/fleet-status.ts		take upstream edit, then review Selesai branding/config paths
M	src/tui/fleet.ts		take upstream edit, then review Selesai branding/config paths
M	src/tui/render.ts		take upstream edit, then review Selesai branding/config paths
M	src/watchdog/child-status.ts		take upstream edit, then review Selesai branding/config paths
M	src/watchdog/diff-tool.ts		take upstream edit, then review Selesai branding/config paths
M	src/watchdog/lsp-diagnostics.ts		take upstream edit, then review Selesai branding/config paths
M	src/watchdog/model-selection.ts		take upstream edit, then review Selesai branding/config paths
M	src/watchdog/permission-arbiter.ts		take upstream edit, then review Selesai branding/config paths
M	src/watchdog/register-child.ts		take upstream edit, then review Selesai branding/config paths
M	src/watchdog/register-main.ts		take upstream edit, then review Selesai branding/config paths
M	src/watchdog/render.ts		take upstream edit, then review Selesai branding/config paths
M	src/watchdog/review.ts		take upstream edit, then review Selesai branding/config paths
M	src/watchdog/rules.ts		take upstream edit, then review Selesai branding/config paths
M	src/watchdog/runtime.ts		take upstream edit, then review Selesai branding/config paths
M	src/watchdog/scope.ts		3-way conflict; resolve fork delta by inventory decision
M	src/watchdog/settings.ts		take upstream edit, then review Selesai branding/config paths
M	src/watchdog/tool-actions.ts		take upstream edit, then review Selesai branding/config paths
M	src/watchdog/turn-delta.ts		take upstream edit, then review Selesai branding/config paths
M	src/watchdog/types.ts		take upstream edit, then review Selesai branding/config paths
M	src/watchdog/warning-format.ts		take upstream edit, then review Selesai branding/config paths
M	src/workflows/scripted-workflow.ts		take upstream edit, then review Selesai branding/config paths
M	src/workflows/workflow-checklist.ts		take upstream edit, then review Selesai branding/config paths
M	src/workflows/workflow-child-summary.ts		take upstream edit, then review Selesai branding/config paths
M	src/workflows/workflow-receipt.ts		3-way conflict; resolve fork delta by inventory decision
M	src/workflows/workflow-resources.ts		take upstream edit, then review Selesai branding/config paths
M	src/workflows/workflow-settlement.ts		take upstream edit, then review Selesai branding/config paths
A	test/fixtures/cwd-workflow-child.ts		adopt upstream addition; apply documented fork and packaging exclusions
A	test/fixtures/herdr-allocation-lock-child.ts		adopt upstream addition; apply documented fork and packaging exclusions
A	test/fixtures/herdr-provision-child.ts		adopt upstream addition; apply documented fork and packaging exclusions
A	test/fixtures/native-nested-wait-provider.ts		adopt upstream addition; apply documented fork and packaging exclusions
M	test/fixtures/pi-coding-agent-shim/dist/core/model-registry.d.ts		take upstream edit, then review Selesai branding/config paths
D	test/fixtures/pi-coding-agent-shim/node_modules/@earendil-works/pi-server/dist/index.js		already absent from fork tree; do not restore
D	test/fixtures/pi-coding-agent-shim/node_modules/@earendil-works/pi-server/dist/unix.js		already absent from fork tree; do not restore
D	test/fixtures/pi-coding-agent-shim/node_modules/@earendil-works/pi-server/package.json		already absent from fork tree; do not restore
A	test/fixtures/runner-bootstrap-harness.ts		adopt upstream addition; apply documented fork and packaging exclusions
A	test/fixtures/workflow-cwd-access-failure.ts		adopt upstream addition; apply documented fork and packaging exclusions
M	test/integration/acceptance-file-report.test.ts		take upstream edit, then review Selesai branding/config paths
M	test/integration/async-execution.part-1.test.ts		3-way conflict; resolve fork delta by inventory decision
M	test/integration/async-execution.part-2.test.ts		3-way conflict; resolve fork delta by inventory decision
M	test/integration/async-execution.part-3.test.ts		take upstream edit, then review Selesai branding/config paths
M	test/integration/async-execution.part-4.test.ts		take upstream edit, then review Selesai branding/config paths
M	test/integration/async-job-tracker.test.ts		take upstream edit, then review Selesai branding/config paths
M	test/integration/async-status.test.ts		take upstream edit, then review Selesai branding/config paths
A	test/integration/deadline-checkpoint.test.ts		adopt upstream addition; apply documented fork and packaging exclusions
M	test/integration/external-cli-runner.test.ts		take upstream edit, then review Selesai branding/config paths
M	test/integration/foreign-workflow-steering.test.ts		take upstream edit, then review Selesai branding/config paths
M	test/integration/fork-context-execution.test.ts		3-way conflict; resolve fork delta by inventory decision
M	test/integration/in-process-child.test.ts		take upstream edit, then review Selesai branding/config paths
A	test/integration/inline-workflow-visibility.test.ts		adopt upstream addition; apply documented fork and packaging exclusions
M	test/integration/intercom-result-delivery.test.ts		3-way conflict; resolve fork delta by inventory decision
A	test/integration/model-resolution-diagnostic.test.ts		adopt upstream addition; apply documented fork and packaging exclusions
A	test/integration/nested-async-wait.test.ts		adopt upstream addition; apply documented fork and packaging exclusions
M	test/integration/orca-progress-tabs.test.ts		take upstream edit, then review Selesai branding/config paths
M	test/integration/recovered-assistant-error.test.ts		take upstream edit, then review Selesai branding/config paths
M	test/integration/render-fork-badge.test.ts		take upstream edit, then review Selesai branding/config paths
A	test/integration/render-widget-mouse.test.ts		adopt upstream addition; apply documented fork and packaging exclusions
M	test/integration/render-widget.test.ts		take upstream edit, then review Selesai branding/config paths
M	test/integration/result-publication.test.ts		take upstream edit, then review Selesai branding/config paths
M	test/integration/result-watcher.test.ts		take upstream edit, then review Selesai branding/config paths
M	test/integration/single-execution.part-1.test.ts		3-way conflict; resolve fork delta by inventory decision
M	test/integration/single-execution.part-2.test.ts		3-way conflict; resolve fork delta by inventory decision
M	test/integration/slash-commands.test.ts		3-way conflict; resolve fork delta by inventory decision
M	test/integration/workflow-result-publication.test.ts		take upstream edit, then review Selesai branding/config paths
M	test/integration/workflow-steer-inbox.test.ts		take upstream edit, then review Selesai branding/config paths
A	test/integration/workflow-worktree-admission.test.ts		adopt upstream addition; apply documented fork and packaging exclusions
A	test/smoke/clean-install.mjs		adopt upstream addition; apply documented fork and packaging exclusions
A	test/smoke/npm-background.mjs		adopt upstream addition; apply documented fork and packaging exclusions
A	test/smoke/packed-runner-selection.mjs		adopt upstream addition; apply documented fork and packaging exclusions
D	test/smoke/pi085-child.ts		adopt upstream removal; fork-owned behavior/docs/tests reconciled separately
D	test/smoke/pi085-clean-install.mjs		adopt upstream removal; fork-owned behavior/docs/tests reconciled separately
A	test/smoke/runner-loader-capability.mjs		adopt upstream addition; apply documented fork and packaging exclusions
A	test/smoke/sdk-child.ts		adopt upstream addition; apply documented fork and packaging exclusions
R082	test/smoke/pi085-extension.ts	test/smoke/sdk-extension.ts	adopt rename; run branding/path review
A	test/smoke/standalone-background.mjs		adopt upstream addition; apply documented fork and packaging exclusions
A	test/smoke/standalone-fault.ts		adopt upstream addition; apply documented fork and packaging exclusions
A	test/smoke/standalone-matrix.mjs		adopt upstream addition; apply documented fork and packaging exclusions
A	test/smoke/standalone-observer.ts		adopt upstream addition; apply documented fork and packaging exclusions
A	test/smoke/standalone-parent.ts		adopt upstream addition; apply documented fork and packaging exclusions
A	test/smoke/standalone-provider.ts		adopt upstream addition; apply documented fork and packaging exclusions
A	test/smoke/standalone-release.json		adopt upstream addition; apply documented fork and packaging exclusions
A	test/smoke/standalone-revival.ts		adopt upstream addition; apply documented fork and packaging exclusions
A	test/smoke/standalone-shared.ts		adopt upstream addition; apply documented fork and packaging exclusions
A	test/smoke/tool-activation.test.ts		adopt upstream addition; apply documented fork and packaging exclusions
M	test/support/async-execution-fixture.ts		3-way conflict; resolve fork delta by inventory decision
A	test/support/async-result-timeout-evidence.ts		adopt upstream addition; apply documented fork and packaging exclusions
M	test/support/fake-child-session.ts		take upstream edit, then review Selesai branding/config paths
M	test/support/foreign-workflow-steer-host.mjs		take upstream edit, then review Selesai branding/config paths
M	test/support/helpers.ts		take upstream edit, then review Selesai branding/config paths
M	test/support/isolated-temp-root.mjs		take upstream edit, then review Selesai branding/config paths
A	test/support/native-peer-loader.mjs		adopt upstream addition; apply documented fork and packaging exclusions
M	test/support/single-execution-fixture.ts		3-way conflict; resolve fork delta by inventory decision
A	test/support/watchdog-stable-host-loader.mjs		adopt upstream addition; apply documented fork and packaging exclusions
M	test/unit/acceptance-compaction.test.ts		take upstream edit, then review Selesai branding/config paths
M	test/unit/acceptance.test.ts		take upstream edit, then review Selesai branding/config paths
M	test/unit/advertised-agent-prompt.test.ts		take upstream edit, then review Selesai branding/config paths
M	test/unit/advertised-agent-refresh.test.ts		take upstream edit, then review Selesai branding/config paths
M	test/unit/agent-disabled.test.ts		3-way conflict; resolve fork delta by inventory decision
M	test/unit/agent-eject-disable.test.ts		3-way conflict; resolve fork delta by inventory decision
A	test/unit/agent-exclude-dirs.test.ts		adopt upstream addition; apply documented fork and packaging exclusions
M	test/unit/agent-frontmatter.test.ts		3-way conflict; resolve fork delta by inventory decision
M	test/unit/agent-management.test.ts		3-way conflict; resolve fork delta by inventory decision
M	test/unit/agent-memory.test.ts		3-way conflict; resolve fork delta by inventory decision
A	test/unit/agent-name-resolution.test.ts		adopt upstream addition; apply documented fork and packaging exclusions
M	test/unit/agent-overrides.test.ts		3-way conflict; resolve fork delta by inventory decision
M	test/unit/async-execution.test.ts		3-way conflict; resolve fork delta by inventory decision
M	test/unit/async-interrupt-action.test.ts		take upstream edit, then review Selesai branding/config paths
M	test/unit/async-permission-session.test.ts		take upstream edit, then review Selesai branding/config paths
M	test/unit/async-recovery-descriptor.test.ts		take upstream edit, then review Selesai branding/config paths
A	test/unit/async-result-timeout-evidence.test.ts		adopt upstream addition; apply documented fork and packaging exclusions
M	test/unit/async-resume.test.ts		take upstream edit, then review Selesai branding/config paths
A	test/unit/async-spawn-package-dir.test.ts		adopt upstream addition; apply documented fork and packaging exclusions
M	test/unit/async-spawn-preload.test.ts		take upstream edit, then review Selesai branding/config paths
M	test/unit/async-status-projection.test.ts		take upstream edit, then review Selesai branding/config paths
M	test/unit/authority-policy.test.ts		take upstream edit, then review Selesai branding/config paths
M	test/unit/auto-drain.test.ts		take upstream edit, then review Selesai branding/config paths
A	test/unit/binary-async-spawn.test.ts		adopt upstream addition; apply documented fork and packaging exclusions
A	test/unit/binary-pi-spawn.test.ts		adopt upstream addition; apply documented fork and packaging exclusions
M	test/unit/capability-ceiling-agent-allowlist.test.ts		take upstream edit, then review Selesai branding/config paths
M	test/unit/chain-root-attachment.test.ts		take upstream edit, then review Selesai branding/config paths
A	test/unit/changelog-format.test.ts		adopt upstream addition; apply documented fork and packaging exclusions
A	test/unit/child-cache-retention.test.ts		adopt upstream addition; apply documented fork and packaging exclusions
M	test/unit/child-launch-plan.test.ts		take upstream edit, then review Selesai branding/config paths
A	test/unit/child-lifecycle.test.ts		adopt upstream addition; apply documented fork and packaging exclusions
M	test/unit/child-runtime-config.test.ts		take upstream edit, then review Selesai branding/config paths
A	test/unit/child-session-host-sdk.test.ts		adopt upstream addition; apply documented fork and packaging exclusions
A	test/unit/child-session-parent-providers.test.ts		adopt upstream addition; apply documented fork and packaging exclusions
A	test/unit/child-session-queued.test.ts		adopt upstream addition; apply documented fork and packaging exclusions
M	test/unit/child-tool-plan.test.ts		take upstream edit, then review Selesai branding/config paths
M	test/unit/compaction-resume.test.ts		take upstream edit, then review Selesai branding/config paths
D	test/unit/completion-evidence.test.ts		adopt upstream removal; fork-owned behavior/docs/tests reconciled separately
D	test/unit/completion-guard.test.ts		adopt upstream removal; fork-owned behavior/docs/tests reconciled separately
M	test/unit/completion-replay.test.ts		take upstream edit, then review Selesai branding/config paths
M	test/unit/default-extensions.test.ts		3-way conflict; resolve fork delta by inventory decision
M	test/unit/delegation-api.test.ts		take upstream edit, then review Selesai branding/config paths
M	test/unit/doctor.test.ts		3-way conflict; resolve fork delta by inventory decision
M	test/unit/dynamic-fanout.test.ts		take upstream edit, then review Selesai branding/config paths
A	test/unit/extension-maintenance-lifecycle.test.ts		adopt upstream addition; apply documented fork and packaging exclusions
M	test/unit/external-cli-runner.test.ts		take upstream edit, then review Selesai branding/config paths
M	test/unit/fleet-status.test.ts		take upstream edit, then review Selesai branding/config paths
M	test/unit/fleet.test.ts		take upstream edit, then review Selesai branding/config paths
M	test/unit/fork-context.test.ts		take upstream edit, then review Selesai branding/config paths
A	test/unit/ghostty-inspector.test.ts		adopt upstream addition; apply documented fork and packaging exclusions
A	test/unit/git-environment.test.ts		adopt upstream addition; apply documented fork and packaging exclusions
A	test/unit/herdr-connection.test.ts		adopt upstream addition; apply documented fork and packaging exclusions
A	test/unit/herdr-external-adapters.test.ts		adopt upstream addition; apply documented fork and packaging exclusions
